Region,Year,Date,UV_Index
melbourne,2007,2007-03-27,6.94
melbourne,2007,2007-03-28,3.43
melbourne,2007,2007-03-29,7.66
melbourne,2007,2007-03-30,7.66
melbourne,2007,2007-03-31,7.01
melbourne,2007,2007-04-01,5.99
melbourne,2007,2007-04-02,5.98
melbourne,2007,2007-04-03,6.18
melbourne,2007,2007-04-04,1.14
melbourne,2007,2007-04-05,5.97
melbourne,2007,2007-04-06,5.65
melbourne,2007,2007-04-07,5.57
melbourne,2007,2007-04-08,5.47
melbourne,2007,2007-04-10,5.41
melbourne,2007,2007-04-11,5.67
melbourne,2007,2007-04-12,5.73
melbourne,2007,2007-04-13,5.02
melbourne,2007,2007-04-14,4.42
melbourne,2007,2007-04-15,4.77
melbourne,2007,2007-04-16,2.73
melbourne,2007,2007-04-17,5.39
melbourne,2007,2007-04-18,4.93
melbourne,2007,2007-04-19,3.79
melbourne,2007,2007-04-20,3.91
melbourne,2007,2007-04-21,4.01
melbourne,2007,2007-04-22,4.74
melbourne,2007,2007-04-23,4.59
melbourne,2007,2007-04-24,4.19
melbourne,2007,2007-04-26,4.12
melbourne,2007,2007-04-27,3.38
melbourne,2007,2007-04-28,3.72
melbourne,2007,2007-04-29,4.33
melbourne,2007,2007-04-30,3.67
melbourne,2007,2007-05-03,3.15
melbourne,2007,2007-05-04,3.58
melbourne,2007,2007-05-05,3.08
melbourne,2007,2007-05-06,3.47
melbourne,2007,2007-05-07,3.66
melbourne,2007,2007-05-08,3.67
melbourne,2007,2007-05-09,3.78
melbourne,2007,2007-05-10,2.71
melbourne,2007,2007-05-11,3.0
melbourne,2007,2007-05-12,2.89
melbourne,2007,2007-05-14,2.89
melbourne,2007,2007-05-15,2.57
melbourne,2007,2007-05-16,2.62
melbourne,2007,2007-05-17,1.55
melbourne,2007,2007-05-18,1.58
melbourne,2007,2007-05-19,2.56
melbourne,2007,2007-05-20,2.9
melbourne,2007,2007-05-21,2.85
melbourne,2007,2007-05-22,2.66
melbourne,2007,2007-05-23,2.2
melbourne,2007,2007-05-24,2.2
melbourne,2007,2007-05-25,2.38
melbourne,2007,2007-05-26,2.44
melbourne,2007,2007-05-27,2.35
melbourne,2007,2007-05-28,1.32
melbourne,2007,2007-05-29,1.9
melbourne,2007,2007-05-30,2.09
melbourne,2007,2007-05-31,2.27
melbourne,2007,2007-06-01,2.04
melbourne,2007,2007-06-02,1.87
melbourne,2007,2007-06-04,1.97
melbourne,2007,2007-06-07,1.82
melbourne,2007,2007-06-08,1.8
melbourne,2007,2007-06-09,1.8
melbourne,2007,2007-06-10,1.86
melbourne,2007,2007-06-11,1.84
melbourne,2007,2007-06-12,1.63
melbourne,2007,2007-06-13,1.68
melbourne,2007,2007-06-14,1.7
melbourne,2007,2007-06-15,1.69
melbourne,2007,2007-06-16,0.75
melbourne,2007,2007-06-17,1.7
melbourne,2007,2007-06-18,1.52
melbourne,2007,2007-06-19,0.88
melbourne,2007,2007-06-20,1.73
melbourne,2007,2007-06-22,1.12
melbourne,2007,2007-06-23,0.95
melbourne,2007,2007-06-25,1.75
melbourne,2007,2007-06-26,1.6
melbourne,2007,2007-06-27,0.5
melbourne,2007,2007-06-29,1.71
melbourne,2007,2007-06-30,1.49
melbourne,2007,2007-07-01,1.92
melbourne,2007,2007-07-02,1.93
melbourne,2007,2007-07-04,1.83
melbourne,2007,2007-07-05,1.2
melbourne,2007,2007-07-06,1.5
melbourne,2007,2007-07-07,1.52
melbourne,2007,2007-07-08,1.81
melbourne,2007,2007-07-09,1.69
melbourne,2007,2007-07-10,1.81
melbourne,2007,2007-07-11,1.75
