Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2001 Australian Standard Population 
(per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)"
Melanoma of the skin,1982,Persons,Victoria,644,18.4,20.5
Melanoma of the skin,1983,Persons,Victoria,721,20.3,22.8
Melanoma of the skin,1984,Persons,Victoria,745,20.4,22.8
Melanoma of the skin,1985,Persons,Victoria,868,23.6,26.2
Melanoma of the skin,1986,Persons,Victoria,828,22,24.8
Melanoma of the skin,1987,Persons,Victoria,997,25.9,28.9
Melanoma of the skin,1988,Persons,Victoria,"1,126",28.9,32.2
Melanoma of the skin,1989,Persons,Victoria,"1,109",27.9,31.8
Melanoma of the skin,1990,Persons,Victoria,"1,101",27.6,31.4
Melanoma of the skin,1991,Persons,Victoria,"1,129",27.4,31.1
Melanoma of the skin,1992,Persons,Victoria,"1,378",33.1,38.1
Melanoma of the skin,1993,Persons,Victoria,"1,261",30,34.9
Melanoma of the skin,1994,Persons,Victoria,"1,315",30.9,35.4
Melanoma of the skin,1995,Persons,Victoria,"1,535",35.6,40.9
Melanoma of the skin,1996,Persons,Victoria,"1,684",38.4,43.7
Melanoma of the skin,1997,Persons,Victoria,"1,812",40.4,46.1
Melanoma of the skin,1998,Persons,Victoria,"1,542",34,38.9
Melanoma of the skin,1999,Persons,Victoria,"1,668",36,41.9
Melanoma of the skin,2000,Persons,Victoria,"1,731",36.5,42.9
Melanoma of the skin,2001,Persons,Victoria,"1,740",36,41.7
Melanoma of the skin,2002,Persons,Victoria,"1,830",37.2,43.2
Melanoma of the skin,2003,Persons,Victoria,"1,759",35,41.2
Melanoma of the skin,2004,Persons,Victoria,"1,970",38.5,45.4
Melanoma of the skin,2005,Persons,Victoria,"2,311",44.2,51.7
Melanoma of the skin,2006,Persons,Victoria,"2,194",41,49
Melanoma of the skin,2007,Persons,Victoria,"2,174",39.8,47.2
Melanoma of the skin,2008,Persons,Victoria,"2,228",39.9,47.2
Melanoma of the skin,2009,Persons,Victoria,"2,380",41.5,49.6
Melanoma of the skin,2010,Persons,Victoria,"2,276",38.7,46.4
Melanoma of the skin,2011,Persons,Victoria,"2,072",34.3,41.1
Melanoma of the skin,2012,Persons,Victoria,"2,278",36.8,44.1
Melanoma of the skin,2013,Persons,Victoria,"2,329",36.5,44.3
Melanoma of the skin,2014,Persons,Victoria,"2,465",37.8,45.6
Melanoma of the skin,2015,Persons,Victoria,"2,693",40.3,48.8
Melanoma of the skin,2016,Persons,Victoria,"2,822",41.2,49.5
Melanoma of the skin,2017,Persons,Victoria,"2,982",42.3,51.3
Melanoma of the skin,2018,Persons,Victoria,"3,075",42.6,51.7
Melanoma of the skin,2019,Persons,Victoria,"2,832",38.3,46.7
Non-melanoma skin cancer (rare types),2001,Persons,Victoria,77,1.6,2.1
Non-melanoma skin cancer (rare types),2002,Persons,Victoria,78,1.5,2.1
Non-melanoma skin cancer (rare types),2003,Persons,Victoria,82,1.6,2.1
Non-melanoma skin cancer (rare types),2004,Persons,Victoria,74,1.4,1.8
Non-melanoma skin cancer (rare types),2005,Persons,Victoria,72,1.3,1.7
Non-melanoma skin cancer (rare types),2006,Persons,Victoria,67,1.2,1.6
Non-melanoma skin cancer (rare types),2007,Persons,Victoria,89,1.6,2
Non-melanoma skin cancer (rare types),2008,Persons,Victoria,69,1.2,1.6
Non-melanoma skin cancer (rare types),2009,Persons,Victoria,79,1.3,1.7
Non-melanoma skin cancer (rare types),2010,Persons,Victoria,82,1.3,1.8
Non-melanoma skin cancer (rare types),2011,Persons,Victoria,60,0.9,1.3
Non-melanoma skin cancer (rare types),2012,Persons,Victoria,63,1,1.3
Non-melanoma skin cancer (rare types),2013,Persons,Victoria,85,1.2,1.7
Non-melanoma skin cancer (rare types),2014,Persons,Victoria,121,1.7,2.3
Non-melanoma skin cancer (rare types),2015,Persons,Victoria,118,1.6,2.2
Non-melanoma skin cancer (rare types),2016,Persons,Victoria,138,1.9,2.5
Non-melanoma skin cancer (rare types),2017,Persons,Victoria,226,3,4
Non-melanoma skin cancer (rare types),2018,Persons,Victoria,144,1.8,2.5
Non-melanoma skin cancer (rare types),2019,Persons,Victoria,240,3,4
